"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1462","POST: Создание сущности","autoTests","Sun Apr 06 18:30:50 GMT 2025","passed","Sun Apr 06 18:30:52 GMT 2025","tests.CreateEntityTest","Tests","tests.CreateEntityTest","testCreateEntity"
"","11","DELETE: Удаление сущности","autoTests","Sun Apr 06 18:30:55 GMT 2025","passed","Sun Apr 06 18:30:55 GMT 2025","tests.DeleteEntityTest","Tests","tests.DeleteEntityTest","testDeleteEntity"
"","2573","GET: Получение всех сущностей","autoTests","Sun Apr 06 18:30:52 GMT 2025","passed","Sun Apr 06 18:30:54 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testGetAllEntities"
"","30","PATCH: Обновление сущности и её дополнений","autoTests","Sun Apr 06 18:30:54 GMT 2025","passed","Sun Apr 06 18:30:55 GMT 2025","tests.UpdateEntityTest","Tests","tests.UpdateEntityTest","testUpdateEntity"
"","53","GET: Получение сущности","autoTests","Sun Apr 06 18:30:54 GMT 2025","passed","Sun Apr 06 18:30:54 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testGetEntity"
