"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","DELETE: Удаление сущности","autoTests","Sun Apr 06 17:43:00 GMT 2025","passed","Sun Apr 06 17:43:00 GMT 2025","tests.DeleteEntityTest","Tests","tests.DeleteEntityTest","testDeleteEntity"
"","0","PATCH: Обновление сущности и её дополнений","autoTests","Sun Apr 06 17:43:00 GMT 2025","skipped","Sun Apr 06 17:43:00 GMT 2025","tests.UpdateEntityTest","Tests","tests.UpdateEntityTest","testUpdateEntity"
"","2105","GET: Получение всех сущностей","autoTests","Sun Apr 06 17:42:58 GMT 2025","passed","Sun Apr 06 17:43:00 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testGetAllEntities"
"","1427","POST: Создание сущности","autoTests","Sun Apr 06 17:42:56 GMT 2025","passed","Sun Apr 06 17:42:57 GMT 2025","tests.CreateEntityTest","Tests","tests.CreateEntityTest","testCreateEntity"
"","39","GET: Получение сущности","autoTests","Sun Apr 06 17:43:00 GMT 2025","failed","Sun Apr 06 17:43:00 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testGetEntity"
"","0","setUp","autoTests","Sun Apr 06 17:43:00 GMT 2025","failed","Sun Apr 06 17:43:00 GMT 2025","tests.UpdateEntityTest","Tests","tests.UpdateEntityTest","setUp"
