"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","DELETE: Удаление сущности","autoTests","Sun Apr 06 17:18:18 GMT 2025","skipped","Sun Apr 06 17:18:18 GMT 2025","tests.DeleteEntityTest","Tests","tests.DeleteEntityTest","testDeleteEntity"
"","0","PATCH: Обновление сущности и её дополнений","autoTests","Sun Apr 06 17:18:18 GMT 2025","skipped","Sun Apr 06 17:18:18 GMT 2025","tests.UpdateEntityTest","Tests","tests.UpdateEntityTest","testUpdateEntity"
"","0","setUp","autoTests","Sun Apr 06 17:18:18 GMT 2025","broken","Sun Apr 06 17:18:18 GMT 2025","tests.DeleteEntityTest","Tests","tests.DeleteEntityTest","setUp"
"","0","setUp","autoTests","Sun Apr 06 17:18:18 GMT 2025","broken","Sun Apr 06 17:18:18 GMT 2025","tests.UpdateEntityTest","Tests","tests.UpdateEntityTest","setUp"
"","12","GET: Получение сущности","autoTests","Sun Apr 06 17:18:18 GMT 2025","broken","Sun Apr 06 17:18:18 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testGetEntity"
"","1","tearDown","autoTests","Sun Apr 06 17:18:18 GMT 2025","broken","Sun Apr 06 17:18:18 GMT 2025","tests.CreateEntityTest","Tests","tests.CreateEntityTest","tearDown"
"","1205","POST: Создание сущности","autoTests","Sun Apr 06 17:18:17 GMT 2025","broken","Sun Apr 06 17:18:18 GMT 2025","tests.CreateEntityTest","Tests","tests.CreateEntityTest","testCreateEntity"
"","14","GET: Получение всех сущностей","autoTests","Sun Apr 06 17:18:18 GMT 2025","broken","Sun Apr 06 17:18:18 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testGetAllEntities"
