"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1276","POST: Создание сущности","autoTests","Sun Apr 06 16:37:55 GMT 2025","broken","Sun Apr 06 16:37:56 GMT 2025","tests.CreateEntityTest","Tests","tests.CreateEntityTest","testCreateEntity"
"","1","setUp","autoTests","Sun Apr 06 16:37:56 GMT 2025","broken","Sun Apr 06 16:37:56 GMT 2025","tests.DeleteEntityTest","Tests","tests.DeleteEntityTest","setUp"
"","12","GET: Получение всех сущностей","autoTests","Sun Apr 06 16:37:56 GMT 2025","broken","Sun Apr 06 16:37:56 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testGetAllEntities"
"","1","PATCH: Обновление сущности и её дополнений","autoTests","Sun Apr 06 16:37:56 GMT 2025","skipped","Sun Apr 06 16:37:56 GMT 2025","tests.UpdateEntityTest","Tests","tests.UpdateEntityTest","testUpdateEntity"
"","0","DELETE: Удаление сущности","autoTests","Sun Apr 06 16:37:56 GMT 2025","skipped","Sun Apr 06 16:37:56 GMT 2025","tests.DeleteEntityTest","Tests","tests.DeleteEntityTest","testDeleteEntity"
"","0","setUp","autoTests","Sun Apr 06 16:37:56 GMT 2025","broken","Sun Apr 06 16:37:56 GMT 2025","tests.UpdateEntityTest","Tests","tests.UpdateEntityTest","setUp"
"","11","GET: Получение сущности","autoTests","Sun Apr 06 16:37:56 GMT 2025","broken","Sun Apr 06 16:37:56 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testGetEntity"
"","1","tearDown","autoTests","Sun Apr 06 16:37:56 GMT 2025","broken","Sun Apr 06 16:37:56 GMT 2025","tests.CreateEntityTest","Tests","tests.CreateEntityTest","tearDown"
